Segment,rfm_score
About To Sleep,213.00
About To Sleep,221.00
About To Sleep,231.00
About To Sleep,241.00
About To Sleep,251.00
About To Sleep,312.00
About To Sleep,321.00
About To Sleep,331.00
At Risk,124.00
At Risk,125.00
At Risk,133.00
At Risk,134.00
At Risk,135.00
At Risk,142.00
At Risk,143.00
At Risk,145.00
At Risk,152.00
At Risk,153.00
At Risk,224.00
At Risk,225.00
At Risk,234.00
At Risk,235.00
At Risk,242.00
At Risk,243.00
At Risk,244.00
At Risk,245.00
At Risk,252.00
At Risk,253.00
At Risk,254.00
At Risk,255.00
Cannot Lose Them,113.00
Cannot Lose Them,114.00
Cannot Lose Them,115.00
Cannot Lose Them,144.00
Cannot Lose Them,154.00
Cannot Lose Them,155.00
Cannot Lose Them,214.00
Cannot Lose Them,215.00
Champions,445.00
Champions,454.00
Champions,455.00
Champions,544.00
Champions,545.00
Champions,554.00
Champions,555.00
Hibernating customers,122.00
Hibernating customers,123.00
Hibernating customers,132.00
Hibernating customers,211.00
Hibernating customers,212.00
Hibernating customers,222.00
Hibernating customers,223.00
Hibernating customers,231.00
Hibernating customers,232.00
Hibernating customers,233.00
Hibernating customers,241.00
Hibernating customers,251.00
Hibernating customers,322.00
Hibernating customers,332.00
Lost customers,111.00
Lost customers,112.00
Lost customers,121.00
Lost customers,131.00
Lost customers,141.00
Lost customers,151.00
Loyal,335.00
Loyal,344.00
Loyal,345.00
Loyal,354.00
Loyal,355.00
Loyal,435.00
Loyal,444.00
Loyal,543.00
Need Attention,324.00
Need Attention,325.00
Need Attention,334.00
Need Attention,343.00
Need Attention,434.00
Need Attention,443.00
Need Attention,534.00
Need Attention,535.00
New Customers,311.00
New Customers,411.00
New Customers,412.00
New Customers,421.00
New Customers,422.00
New Customers,511.00
New Customers,512.00
Potential Loyalist,323.00
Potential Loyalist,333.00
Potential Loyalist,341.00
Potential Loyalist,342.00
Potential Loyalist,351.00
Potential Loyalist,352.00
Potential Loyalist,353.00
Potential Loyalist,423.00
Potential Loyalist,431.00
Potential Loyalist,432.00
Potential Loyalist,433.00
Potential Loyalist,441.00
Potential Loyalist,442.00
Potential Loyalist,451.00
Potential Loyalist,452.00
Potential Loyalist,453.00
Potential Loyalist,531.00
Potential Loyalist,532.00
Potential Loyalist,533.00
Potential Loyalist,541.00
Potential Loyalist,542.00
Potential Loyalist,551.00
Potential Loyalist,552.00
Potential Loyalist,553.00
Promising,313.00
Promising,314.00
Promising,315.00
Promising,413.00
Promising,414.00
Promising,415.00
Promising,424.00
Promising,425.00
Promising,513.00
Promising,514.00
Promising,515.00
Promising,521.00
Promising,522.00
Promising,523.00
Promising,524.00
Promising,525.00
